idx,mark_pos,base_xmin,base_ymin,base_xmax,base_ymax,mark_cx,mark_cy,x_ratio,gap_px,mark_area
1,no-separate-mark,7,5,26,5,,,,,unknown
2,no-separate-mark,5,15,5,28,,,,,unknown
3,no-separate-mark,5,14,5,28,,,,,unknown
4,NA,0,0,0,0,0,0,0,0,unknown
5,no-separate-mark,5,5,5,32,,,,,unknown
6,no-separate-mark,6,6,24,6,,,,,unknown
7,no-separate-mark,6,6,32,6,,,,,unknown
8,top,5,17,5,30,5.0,9.5,0.0,4,8
9,no-separate-mark,5,16,5,32,,,,,unknown
10,no-separate-mark,5,13,5,37,,,,,unknown
11,no-separate-mark,5,17,5,31,,,,,unknown
12,bottom,7,5,27,5,5.0,22.0,-0.1,9,17
13,no-separate-mark,7,5,17,5,,,,,unknown
14,no-separate-mark,5,5,23,5,,,,,unknown
15,no-separate-mark,13,5,32,5,,,,,unknown
16,no-separate-mark,5,7,5,33,,,,,unknown
17,no-separate-mark,5,12,5,37,,,,,unknown
18,no-separate-mark,9,5,33,5,,,,,unknown
19,bottom,6,5,38,5,5.0,20.0,-0.031,2,27
20,no-separate-mark,5,12,5,37,,,,,unknown
21,no-separate-mark,15,5,31,5,,,,,unknown
22,NA,0,0,0,0,0,0,0,0,unknown
23,no-separate-mark,5,19,5,37,,,,,unknown
24,no-separate-mark,5,29,5,37,,,,,unknown
25,no-separate-mark,5,18,5,36,,,,,unknown
26,no-separate-mark,5,26,5,37,,,,,unknown
27,no-separate-mark,5,18,5,36,,,,,unknown
28,no-separate-mark,5,15,5,37,,,,,unknown
29,no-separate-mark,5,10,5,36,,,,,unknown
30,top,5,20,5,37,5.0,11.0,0.0,5,9
31,bottom,7,5,33,5,5.0,19.0,-0.077,8,13
32,bottom,7,5,33,5,5.0,28.5,-0.077,15,18
33,no-separate-mark,6,5,32,5,,,,,unknown
34,NA,0,0,0,0,0,0,0,0,unknown
35,no-separate-mark,5,16,5,37,,,,,unknown
36,no-separate-mark,5,6,5,37,,,,,unknown
37,NA,0,0,0,0,0,0,0,0,unknown
38,NA,0,0,0,0,0,0,0,0,unknown
39,no-separate-mark,5,17,5,36,,,,,unknown
40,bottom,12,5,32,5,5.0,17.0,-0.35,2,21
41,no-separate-mark,5,10,5,27,,,,,unknown
42,bottom,7,5,34,5,5.0,19.5,-0.074,4,22
43,no-separate-mark,15,5,28,5,,,,,unknown
44,no-separate-mark,10,5,37,5,,,,,unknown
45,no-separate-mark,5,7,5,23,,,,,unknown
46,no-separate-mark,5,13,5,26,,,,,unknown
47,no-separate-mark,18,5,33,5,,,,,unknown
48,bottom,6,5,25,5,5.0,19.0,-0.053,9,11
49,bottom,6,5,34,5,5.0,18.5,-0.036,1,26
50,no-separate-mark,5,6,5,14,,,,,unknown
51,no-separate-mark,6,5,21,5,,,,,unknown
52,no-separate-mark,5,6,5,31,,,,,unknown
53,no-separate-mark,5,17,5,30,,,,,unknown
54,NA,0,0,0,0,0,0,0,0,unknown
